CustomerKey,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,Region,City,State-Province
11000,Jon,V,Yang,2/7/2021,M,M,jon24@adventure-works.com,90000,South,Rockhampton,Queensland
11001,Eugene,L,Huang,14/5/1969,S,M,eugene10@adventure-works.com,60000,South,Seaford,Victoria
11002,Ruben,NULL,Torres,12/8/1969,M,M,ruben35@adventure-works.com,60000,South,Hobart,Tasmania
11003,Christy,NULL,Zhu,15/2/1972,S,F,christy12@adventure-works.com,70000,North,North Ryde,New South Wales
11004,Elizabeth,NULL,Johnson,8/8/1972,S,F,elizabeth5@adventure-works.com,80000,East,Wollongong,New South Wales
11005,Julio,NULL,Ruiz,5/8/1969,S,M,julio1@adventure-works.com,70000,East,East Brisbane,Queensland
11006,Janet,G,Alvarez,6/12/1969,S,F,janet9@adventure-works.com,70000,South,Matraville,New South Wales
11007,Marco,NULL,Mehta,9/5/1968,M,M,marco14@adventure-works.com,60000,West,Warrnambool,Victoria
11008,Rob,NULL,Verhoff,7/7/1968,S,F,rob4@adventure-works.com,60000,South,Bendigo,Victoria
11009,Shannon,C,Carlson,1/4/1968,S,M,shannon38@adventure-works.com,70000,East,Hervey Bay,Queensland
11010,Jacquelyn,C,Suarez,6/2/1968,S,F,jacquelyn20@adventure-works.com,70000,South,East Brisbane,Queensland
11011,Curtis,NULL,Lu,4/11/1967,M,M,curtis9@adventure-works.com,60000,South,East Brisbane,Queensland
11012,Lauren,M,Walker,18/1/1972,M,F,lauren41@adventure-works.com,100000,South,Bremerton,Washington
11013,Ian,M,Jenkins,6/8/1972,M,M,ian47@adventure-works.com,100000,East,Lebanon,Oregon
11014,Sydney,NULL,Bennett,3/7/2021,S,F,sydney23@adventure-works.com,100000,South,Redmond,Washington
11015,Chloe,NULL,Young,27/2/1983,S,F,chloe23@adventure-works.com,30000,South,Burbank,California
11016,Wyatt,L,Hill,28/4/1983,M,M,wyatt32@adventure-works.com,30000,South,Imperial Beach,California
11017,Shannon,NULL,Wang,26/6/1948,S,F,shannon1@adventure-works.com,20000,East,Sunbury,Victoria
11018,Clarence,D,Rai,9/10/1948,S,M,clarence32@adventure-works.com,30000,Central,Bendigo,Victoria
